ID,X,Y,Lat,Lon
1,2623,1373,21.451589,105.520785
2,2619,1373,21.451589,105.520425
3,2620,1373,21.451589,105.520515
4,2621,1373,21.451589,105.520605
5,2622,1373,21.451589,105.520695
6,2624,1373,21.451589,105.520874
7,2623,1374,21.451499,105.520785
8,2621,1374,21.451499,105.520605
9,2619,1374,21.451499,105.520425
10,2620,1374,21.451499,105.520515
11,2622,1374,21.451499,105.520695
12,2624,1374,21.451499,105.520874
13,2622,1375,21.45141,105.520695
14,2623,1375,21.45141,105.520785
15,2619,1375,21.45141,105.520425
16,2620,1375,21.45141,105.520515
17,2621,1375,21.45141,105.520605
18,2624,1375,21.45141,105.520874
19,2622,1376,21.45132,105.520695
20,2623,1376,21.45132,105.520785
21,2619,1376,21.45132,105.520425
22,2620,1376,21.45132,105.520515
23,2621,1376,21.45132,105.520605
24,2624,1376,21.45132,105.520874
25,2620,1377,21.45123,105.520515
26,2621,1377,21.45123,105.520605
27,2622,1377,21.45123,105.520695
28,2623,1377,21.45123,105.520785
29,2624,1377,21.45123,105.520874
30,2619,1377,21.45123,105.520425
31,2619,1378,21.45114,105.520425
32,2620,1378,21.45114,105.520515
33,2621,1378,21.45114,105.520605
34,2622,1378,21.45114,105.520695
35,2623,1378,21.45114,105.520785
36,2624,1378,21.45114,105.520874
37,2619,1379,21.45105,105.520425
38,2620,1379,21.45105,105.520515
39,2621,1379,21.45105,105.520605
40,2623,1379,21.45105,105.520785
41,2624,1379,21.45105,105.520874
42,2625,1379,21.45105,105.520964
43,2622,1379,21.45105,105.520695
44,2620,1380,21.450961,105.520515
45,2621,1380,21.450961,105.520605
46,2622,1380,21.450961,105.520695
47,2623,1380,21.450961,105.520785
48,2624,1380,21.450961,105.520874
49,2625,1380,21.450961,105.520964
50,2619,1380,21.450961,105.520425
51,2625,1381,21.450871,105.520964
52,2624,1381,21.450871,105.520874
53,2623,1381,21.450871,105.520785
54,2622,1381,21.450871,105.520695
55,2621,1381,21.450871,105.520605
56,2620,1381,21.450871,105.520515
57,2621,1382,21.450781,105.520605
58,2622,1382,21.450781,105.520695
59,2623,1382,21.450781,105.520785
60,2624,1382,21.450781,105.520874
61,2625,1382,21.450781,105.520964
62,2620,1382,21.450781,105.520515
63,2620,1383,21.450691,105.520515
64,2622,1383,21.450691,105.520695
65,2623,1383,21.450691,105.520785
66,2624,1383,21.450691,105.520874
67,2625,1383,21.450691,105.520964
68,2621,1383,21.450691,105.520605
69,2621,1384,21.450601,105.520605
70,2622,1384,21.450601,105.520695
71,2623,1384,21.450601,105.520785
72,2624,1384,21.450601,105.520874
73,2625,1384,21.450601,105.520964
74,2620,1384,21.450601,105.520515
75,2620,1385,21.450511,105.520515
76,2621,1385,21.450511,105.520605
77,2622,1385,21.450511,105.520695
78,2623,1385,21.450511,105.520785
79,2624,1385,21.450511,105.520874
80,2621,1386,21.450422,105.520605
81,2622,1386,21.450422,105.520695
82,2620,1386,21.450422,105.520515
83,2620,1387,21.450332,105.520515
84,2931,2195,21.377748,105.548453
85,2932,2195,21.377748,105.548542
86,2931,2196,21.377658,105.548453
87,2932,2196,21.377658,105.548542
88,2933,2196,21.377658,105.548632
89,2930,2196,21.377658,105.548363
90,2930,2197,21.377568,105.548363
91,2931,2197,21.377568,105.548453
92,2932,2197,21.377568,105.548542
93,2933,2197,21.377568,105.548632
94,2929,2197,21.377568,105.548273
95,2934,2197,21.377568,105.548722
96,2929,2198,21.377478,105.548273
97,2931,2198,21.377478,105.548453
98,2932,2198,21.377478,105.548542
99,2933,2198,21.377478,105.548632
100,2934,2198,21.377478,105.548722
101,2930,2198,21.377478,105.548363
102,2928,2198,21.377478,105.548183
103,2929,2199,21.377388,105.548273
104,2930,2199,21.377388,105.548363
105,2931,2199,21.377388,105.548453
106,2928,2199,21.377388,105.548183
107,2932,2199,21.377388,105.548542
108,2933,2199,21.377388,105.548632
109,2934,2199,21.377388,105.548722
110,2935,2199,21.377388,105.548812
111,2930,2200,21.377299,105.548363
112,2931,2200,21.377299,105.548453
113,2932,2200,21.377299,105.548542
114,2933,2200,21.377299,105.548632
115,2934,2200,21.377299,105.548722
116,2935,2200,21.377299,105.548812
117,2936,2200,21.377299,105.548902
118,2929,2200,21.377299,105.548273
119,2930,2201,21.377209,105.548363
120,2931,2201,21.377209,105.548453
121,2932,2201,21.377209,105.548542
122,2933,2201,21.377209,105.548632
123,2934,2201,21.377209,105.548722
